"id-mapa","anio","mes","dia","fecha","franja","tipo","subtipo","uso_arma","uso_moto","barrio","comuna","latitud","longitud","cantidad"
1444860,"2024","ABRIL","LUNES","2024-04-29",17,"Hurto","Hurto total","NO","NO","VILLA PUEYRREDON",12,"-34.5827622","-58.51264868",1
1444861,"2024","ABRIL","LUNES","2024-04-29",1,"Robo","Robo total","NO","NO","FLORES",7,"-34.626616","-58.465316",1
1444862,"2024","ABRIL","LUNES","2024-04-29",22,"Robo","Robo total","NO","NO","FLORES",7,"-34.629537","-58.456037",1
1444863,"2024","ABRIL","LUNES","2024-04-29",23,"Robo","Robo total","SI","NO","FLORES",7,"-34.642939","-58.454761",1
1444864,"2024","ABRIL","LUNES","2024-04-29",18,"Hurto","Hurto total","NO","NO","VILLA SOLDATI",8,"-34.668761","-58.445071",1
1444865,"2024","ABRIL","LUNES","2024-04-29",14,"Hurto","Hurto automotor","NO","NO","NUÑEZ",13,"-34.546044","-58.468517",1
1444866,"2024","ABRIL","LUNES","2024-04-29",9,"Hurto","Hurto automotor","NO","NO","VILLA SOLDATI",8,"-34.65889655","-58.44515191",1
1444867,"2024","ABRIL","LUNES","2024-04-29",19,"Robo","Robo total","NO","NO","RECOLETA",2,"-34.585314","-58.388675",1
1444868,"2024","ABRIL","LUNES","2024-04-29",21,"Robo","Robo total","NO","NO","PARQUE CHACABUCO",7,"-34.643685","-58.439666",1
1444869,"2024","ABRIL","LUNES","2024-04-29",15,"Hurto","Hurto total","NO","NO","BELGRANO",13,"-34.555711","-58.457887",1
1444870,"2024","ABRIL","LUNES","2024-04-29",16,"Robo","Robo total","NO","SI","BELGRANO",13,"-34.553863","-58.446915",1
1444871,"2024","ABRIL","LUNES","2024-04-29",12,"Robo","Robo total","NO","NO","PARQUE CHACABUCO",7,"-34.641684","-58.439815",1
1444872,"2024","ABRIL","LUNES","2024-04-29",19,"Hurto","Hurto total","NO","NO","FLORES",7,"-34.629244","-58.464092",1
1444873,"2024","ABRIL","LUNES","2024-04-29",12,"Robo","Robo total","NO","NO","SAN NICOLAS",1,"-34.60313332","-58.37246563",1
1444874,"2024","ABRIL","LUNES","2024-04-29",20,"Robo","Robo total","NO","NO","FLORES",7,"-34.626368","-58.471575",1
1444875,"2024","ABRIL","LUNES","2024-04-29",23,"Robo","Robo total","SI","NO","FLORES",7,"-34.63673919","-58.45316471",1
1444876,"2024","ABRIL","LUNES","2024-04-29",1,"Robo","Robo total","SI","NO","VILLA SOLDATI",8,"-34.669125","-58.44351",1
1444877,"2024","ABRIL","LUNES","2024-04-29",10,"Hurto","Hurto total","NO","NO","MONSERRAT",1,"-34.612849","-58.377589",1
1444878,"2024","ABRIL","LUNES","2024-04-29",14,"Robo","Robo total","NO","NO","RECOLETA",2,"-34.598702","-58.395885",1
1444879,"2024","ABRIL","LUNES","2024-04-29",21,"Hurto","Hurto total","NO","NO","RECOLETA",2,"-34.592577","-58.410507",1
1444880,"2024","ABRIL","LUNES","2024-04-29",21,"Robo","Robo total","NO","NO","RECOLETA",2,"-34.591673","-58.407142",1
1444881,"2024","ABRIL","LUNES","2024-04-29",21,"Robo","Robo total","NO","NO","NUÑEZ",13,"-34.544742","-58.469976",1
1444882,"2024","ABRIL","LUNES","2024-04-29",16,"Hurto","Hurto total","NO","NO","MONSERRAT",1,"-34.611994","-58.376522",1
1444883,"2024","ABRIL","LUNES","2024-04-29",13,"Hurto","Hurto total","NO","NO","COLEGIALES",13,"-34.579517","-58.452805",1
1444884,"2024","ABRIL","LUNES","2024-04-29",16,"Hurto","Hurto total","NO","NO","MONSERRAT",1,"-34.61246391","-58.3708869",1
1444885,"2024","ABRIL","LUNES","2024-04-29",21,"Hurto","Hurto total","NO","NO","RECOLETA",2,"-34.595422","-58.412689",1
1444886,"2024","ABRIL","LUNES","2024-04-29",3,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.603013","-58.370417",1
1444887,"2024","ABRIL","LUNES","2024-04-29",7,"Robo","Robo total","NO","NO","RECOLETA",2,"-34.596612","-58.389908",1
1444888,"2024","ABRIL","LUNES","2024-04-29",11,"Hurto","Hurto total","NO","NO","RECOLETA",2,"-34.59164485","-58.39174727",1
1444889,"2024","ABRIL","LUNES","2024-04-29",12,"Robo","Robo total","NO","NO","BELGRANO",13,"-34.557589","-58.460566",1
1444890,"2024","ABRIL","LUNES","2024-04-29",7,"Hurto","Hurto total","NO","NO","PARQUE CHACABUCO",7,"-34.64170361","-58.44253406",1
1444891,"2024","ABRIL","LUNES","2024-04-29",15,"Hurto","Hurto total","NO","NO","RECOLETA",2,"-34.591229","-58.402779",1
1444892,"2024","ABRIL","LUNES","2024-04-29",8,"Robo","Robo total","NO","NO","PARQUE CHACABUCO",7,"-34.63929693","-58.43097504",1
1444893,"2024","ABRIL","LUNES","2024-04-29",19,"Hurto","Hurto total","NO","NO","RECOLETA",2,"-34.590262","-58.393883",1
1444894,"2024","ABRIL","LUNES","2024-04-29",13,"Hurto","Hurto total","NO","NO","MONSERRAT",1,"-34.61168412","-58.37765088",1
1444895,"2024","ABRIL","LUNES","2024-04-29",7,"Robo","Robo total","NO","NO","RECOLETA",2,"-34.589344","-58.408079",1
1444896,"2024","ABRIL","LUNES","2024-04-29",18,"Hurto","Hurto total","NO","NO","VILLA LUGANO",8,"-34.675263","-58.475366",1
1444897,"2024","ABRIL","LUNES","2024-04-29",8,"Hurto","Hurto total","NO","NO","MONSERRAT",1,"-34.608892","-58.370793",1
1444898,"2024","ABRIL","LUNES","2024-04-29",22,"Robo","Robo total","SI","NO","FLORES",7,"-34.626368","-58.471575",1
1444899,"2024","ABRIL","LUNES","2024-04-29",6,"Robo","Robo total","NO","NO","FLORES",7,"-34.63490661","-58.4708367",1
1444900,"2024","ABRIL","LUNES","2024-04-29",9,"Hurto","Hurto total","NO","NO","FLORES",7,"-34.63066971","-58.46660459",1
1444901,"2024","ABRIL","LUNES","2024-04-29",20,"Robo","Robo total","NO","SI","RECOLETA",2,"-34.590958","-58.402422",1
1444902,"2024","ABRIL","LUNES","2024-04-29",14,"Robo","Robo total","NO","NO","RECOLETA",2,"-34.59828523","-58.39902826",1
1444903,"2024","ABRIL","LUNES","2024-04-29",7,"Robo","Robo total","NO","NO","PARQUE CHACABUCO",7,"-34.640077","-58.427685",1
1444904,"2024","ABRIL","LUNES","2024-04-29",8,"Hurto","Hurto total","NO","NO","FLORES",7,"-34.642769","-58.456676",1
1444905,"2024","ABRIL","LUNES","2024-04-29",17,"Robo","Robo total","NO","NO","VILLA LUGANO",8,"-34.66653","-58.48937495",1
1444906,"2024","ABRIL","LUNES","2024-04-29",1,"Robo","Robo total","NO","NO","VILLA SOLDATI",8,"-34.664489","-58.448735",1
1444907,"2024","ABRIL","LUNES","2024-04-29",22,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.60015","-58.374103",1
1444908,"2024","ABRIL","LUNES","2024-04-29",22,"Hurto","Hurto total","NO","NO","COLEGIALES",13,"-34.569953","-58.444888",1
1444909,"2024","ABRIL","LUNES","2024-04-29",7,"Robo","Robo total","NO","NO","NUÑEZ",13,"-34.550873","-58.461274",1
1444910,"2024","ABRIL","LUNES","2024-04-29",8,"Hurto","Hurto automotor","NO","NO","VILLA LUGANO",8,"-34.685689","-58.462564",1
1444911,"2024","ABRIL","LUNES","2024-04-29",8,"Robo","Robo total","NO","NO","MONTE CASTRO",10,"-34.62689636","-58.50657955",1
1444912,"2024","ABRIL","LUNES","2024-04-29",3,"Hurto","Hurto total","NO","NO","PALERMO",14,"-34.586604","-58.436228",1
1444913,"2024","ABRIL","LUNES","2024-04-29",9,"Robo","Robo total","NO","NO","BOCA",4,"-34.63136711","-58.36036291",1
1444914,"2024","ABRIL","LUNES","2024-04-29",22,"Hurto","Hurto total","NO","NO","CABALLITO",6,"-34.60727174","-58.43279231",1
1444915,"2024","ABRIL","LUNES","2024-04-29",19,"Hurto","Hurto total","NO","NO","SAAVEDRA",12,"-34.56007212","-58.50414759",1
1444916,"2024","ABRIL","LUNES","2024-04-29",21,"Hurto","Hurto total","NO","NO","PARQUE CHACABUCO",7,"-34.629805","-58.428902",1
1444917,"2024","ABRIL","LUNES","2024-04-29",2,"Robo","Robo total","NO","NO","PARQUE AVELLANEDA",9,"-34.638056","-58.471535",1
1444918,"2024","ABRIL","LUNES","2024-04-29",7,"Hurto","Hurto total","NO","NO","VILLA SANTA RITA",11,"-34.613063","-58.481767",1
1444919,"2024","ABRIL","LUNES","2024-04-29",18,"Hurto","Hurto total","NO","NO","ALMAGRO",5,"-34.61189282","-58.43021832",1
1444920,"2024","ABRIL","LUNES","2024-04-29",15,"Hurto","Hurto total","NO","NO","PALERMO",14,"-34.582045","-58.401538",1
1444921,"2024","ABRIL","LUNES","2024-04-29",17,"Robo","Robo total","NO","NO","VILLA LUGANO",8,"-34.669643","-58.464153",1
1444922,"2024","ABRIL","LUNES","2024-04-29",11,"Robo","Robo total","NO","NO","VILLA CRESPO",15,"-34.60661","-58.44304",1
1444923,"2024","ABRIL","LUNES","2024-04-29",17,"Hurto","Hurto total","NO","NO","BOCA",4,"-34.631449","-58.359441",1
1444924,"2024","ABRIL","LUNES","2024-04-29",14,"Robo","Robo total","SI","SI","BARRACAS",4,"-34.646786","-58.389368",1
1444925,"2024","ABRIL","LUNES","2024-04-29",20,"Robo","Robo total","NO","NO","VILLA CRESPO",15,"-34.60347452","-58.43729841",1
1444926,"2024","ABRIL","LUNES","2024-04-29",18,"Hurto","Hurto total","NO","NO","COLEGIALES",13,"-34.5751596","-58.46310596",1
1444927,"2024","ABRIL","LUNES","2024-04-29",3,"Robo","Robo total","NO","NO","VILLA SOLDATI",8,"-34.659152","-58.434391",1
1444928,"2024","ABRIL","LUNES","2024-04-29",10,"Hurto","Hurto total","NO","NO","PARQUE CHACABUCO",7,"-34.63072228","-58.42815744",1
1444929,"2024","ABRIL","LUNES","2024-04-29",7,"Robo","Robo total","NO","NO","BOCA",4,"-34.634491","-58.35938",1
1444930,"2024","ABRIL","LUNES","2024-04-29",7,"Robo","Robo total","NO","NO","PARQUE CHACABUCO",7,"-34.63197539","-58.43959718",1
1444931,"2024","ABRIL","LUNES","2024-04-29",16,"Hurto","Hurto total","NO","NO","MATADEROS",9,"-34.662685","-58.516773",1
1444932,"2024","ABRIL","LUNES","2024-04-29",19,"Robo","Robo total","NO","NO","CHACARITA",15,"-34.590002","-58.450902",1
1444933,"2024","ABRIL","LUNES","2024-04-29",17,"Hurto","Hurto total","NO","NO","CHACARITA",15,"-34.588608","-58.441976",1
1444934,"2024","ABRIL","LUNES","2024-04-29",22,"Robo","Robo total","NO","NO","CHACARITA",15,"-34.58974836","-58.44490764",1
1444935,"2024","ABRIL","LUNES","2024-04-29",10,"Hurto","Hurto total","NO","NO","FLORES",7,"-34.63809","-58.461431",1
1444936,"2024","ABRIL","LUNES","2024-04-29",20,"Robo","Robo total","NO","NO","FLORES",7,"-34.636053","-58.462217",1
1444937,"2024","ABRIL","LUNES","2024-04-29",7,"Robo","Robo total","NO","NO","PARQUE AVELLANEDA",9,"-34.636814","-58.471533",1
1444938,"2024","ABRIL","LUNES","2024-04-29",18,"Robo","Robo total","NO","NO","BALVANERA",3,"-34.61702572","-58.40412099",1
1444939,"2024","ABRIL","LUNES","2024-04-29",21,"Robo","Robo total","NO","NO","BALVANERA",3,"-34.60767","-58.396389",1
1444940,"2024","ABRIL","LUNES","2024-04-29",10,"Robo","Robo total","NO","NO","PARQUE CHACABUCO",7,"-34.632427","-58.451454",1
1444941,"2024","ABRIL","LUNES","2024-04-29",7,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.639821","-58.515406",1
